Category,Terms,Definitions,References,Deprecated,Cross-category
Accountability & Transparency,Risk Regulation,"Rules or procedures intended to control or mitigate risks, broadly covering three categories: precautionary tactics, risk analysis and mitigation, and post-market measures","Page 1370, Kaminski, Margot E., Regulating the Risks of AI (August 19, 2022). Boston University Law Review, Vol. 103:1347, 2023, U of Colorado Law Legal Studies Research Paper No. 22-21, Available at SSRN: https://ssrn.com/abstract=4195066 or http://dx.doi.org/10.2139/ssrn.4195066221 ",,
Accountability & Transparency,Precautionary measures,"Safety-focused measures like bans, licensing, and sandboxing, ensuring technologies are proven safe before use","Page 1371, Kaminski, Margot E., Regulating the Risks of AI (August 19, 2022). Boston University Law Review, Vol. 103:1347, 2023, U of Colorado Law Legal Studies Research Paper No. 22-21, Available at SSRN: https://ssrn.com/abstract=4195066 or http://dx.doi.org/10.2139/ssrn.4195066221 ",,
Accountability & Transparency,Licensing regime,A formal system for regulating and granting permissions for the operation of AI systems.,"Page 1388, Kaminski, Margot E., Regulating the Risks of AI (August 19, 2022). Boston University Law Review, Vol. 103:1347, 2023, U of Colorado Law Legal Studies Research Paper No. 22-21, Available at SSRN: https://ssrn.com/abstract=4195066 or http://dx.doi.org/10.2139/ssrn.4195066221 

221 See generally, Tutt, supra note 95. (Andrew Tutt);

Malgieri & Pasquale, supra note 96. Gianclaudio Malgieri & Frank Pasquale, From Transparency to Justification: Toward Ex Ante Accountability for AI 10-14 (Brooklyn L. Sch., Legal Studies Paper No. 712, Brussels Priv. Hub, Working Paper No. 33, 2022), https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4099657",,
Accountability & Transparency,Conditional Licensing,"Licensing granted with specific restrictions or with promised guard rails, requiring compliance to maintain approval.","Page 1388, Kaminski, Margot E., Regulating the Risks of AI (August 19, 2022). Boston University Law Review, Vol. 103:1347, 2023, U of Colorado Law Legal Studies Research Paper No. 22-21, Available at SSRN: https://ssrn.com/abstract=4195066 or http://dx.doi.org/10.2139/ssrn.4195066221 ",,
Accountability & Transparency,Post-market measures,"Risk regulation tools like monitoring, compliance checks, and failsafes applied after a product is in use","Page 1372, Kaminski, Margot E., Regulating the Risks of AI (August 19, 2022). Boston University Law Review, Vol. 103:1347, 2023, U of Colorado Law Legal Studies Research Paper No. 22-21, Available at SSRN: https://ssrn.com/abstract=4195066 or http://dx.doi.org/10.2139/ssrn.4195066221 ",,
Accountability & Transparency,Information-forcing,The ability to compel entities to provide necessary information.,,,
Accountability & Transparency,Resilience,"The ability of a system to recover from faults or challenges (e.g., through kill switches or emergency protocols).","Marchant & Stevens, supra note 19, at 236. (“While there has been some confusion in the literature about whether risk analysis is part of resilience or resilience is part of risk analysis, the two approaches are distinct but complementary.”)",,
Data Protection,A Right to Privacy,"References to personal data protection, data security, or confidentiality clauses can be considered as referring to a right to privacy",,,
Data Protection,Data Minimization,Collection of the personal data only necessary for a specific purpose,,,
Data Protection,Private Right of Action,Individuals can sue an organization for damages or enforce compliance if their rights are violated,"Page 16, ""Enforcing a New Privacy
Law"", https://www.newamerica.org/oti/reports/enforcing-new-privacy-law/",,
Data Protection,Data Retention,Policies on how long data is stored before secure deletion,,,
Bias & Discrimination,Algorithmic Discrimination,"When automated systems contribute to unjustified different treatment or impacts disfavoring people based on their race, color, ethnicity, sex (including pregnancy, childbirth, and related medical conditions, gender identity, intersex status, and sexual orientation), religion, age, national origin, disability, veteran status, genetic information, or any other classification protected by law.  
Potential synonyms: algorithmic discrimination, intentional differentiation, unjustified differential treatment, unlawful discriminatory practice, the risk to rights and freedoms, and systematic bias, (automation bias)",https://www.whitehouse.gov/ostp/ai-bill-of-rights/definitions/,,
Bias & Discrimination,Unfair Treatment,"Unlawful discriminatory practice, the risk to rights and freedoms, or systematic bias",,,
Bias & Discrimination,Data sources,"Origins/repositories for data used to train, validate, and test machine learning models or other AI systems. Data sources may include public datasets, private sector data, crowdsourced content and historical records.",,,
Institution,Entity,"A new organization, typically a government body or oversight committee which is established to implement, regulate, or enforce specific aspects of the legislation. It might also focus on activities like monitoring compliance, issuing guidelines, or supporting research.",,,
Institution,Measurable Goals,"Specific, quantifiable goals that an institution or agency aims to achieve.",,,
Institution,Regulatory Reports,"Reports created by institutions to assess compliance, performance, or impact related to specific regulations.",,,
Labor Force,AI Economy,"Economic activities, industries, and jobs that arise from the development, deployment, and integration of artificial intelligence technologies. Components of the AI economy may include development (research in AI tools), implementation (applications in industries such as healthcare, finance, etc.), AI services and support, or AI transformation.",https://www.europarl.europa.eu/RegData/etudes/BRIE/2019/637967/EPRS_BRI(2019)637967_EN.pdf,,
Labor Force,Partners,"Organizations, institutions, or groups tasked with responsibilities such as conducting research and analyzing data with regards to the bill’s objectives. This may include governmental bodies, private organizations, academic institutions, research groups, or industry partnerships/stakeholders.",,,
Labor Force,AI-related skills,"Competencies, knowledge, and abilities required to develop, deploy, manage, and work alongside artificial intelligence systems. These skills can be both technical (programming, cybersecurity, etc.) and non-technical (ethics and policy understanding etc.).",,,
